Módulo;Código;Funcionalidade;Comportamento esperado;Status;Evidência;Observações;Responsável
SAC;SAC-3;Filtros;Por status/assunto;Não Testado;;;
SAC;SAC-4;Novo chamado;Modal; assunto obrigatório;Não Testado;;;
SAC;SAC-5;Criar chamado;Grava sac_tickets;Não Testado;;;
SAC;SAC-6;Kanban SAC;Arrastar muda fase e persiste;Não Testado;;;
SAC;SAC-7;Reembolso/Acordo;Multa% cria espelho no Financeiro e move p/ Em pagamento;Não Testado;;regra P0;
SAC;SAC-8;Escopo;Franquia só seus; rede todos;Não Testado;;;
SAC Triagem;TRI-1;Janela de conversas;Lista conversas reais;Não Testado;;via webhook;
SAC Triagem;TRI-2;Responder;Envia pelo canal e grava saída;Não Testado;;depende de canal;
SAC Triagem;TRI-3;Abrir chamado da conversa;Cria ticket vinculado;Não Testado;;validado 201;
Financeiro;FIN-1;Lista de despesas;lancamentos_financeiros + KPIs;Não Testado;;;
Financeiro;FIN-2;Dar baixa;Marca como pago;Não Testado;;;
Financeiro;FIN-3;Ciclo SAC-Financeiro;Baixa de reembolso conclui o chamado;Não Testado;;validado ponta a ponta;
Financeiro;FIN-4;Escopo;Franquia só sua; rede toda;Não Testado;;;
Canais;CAN-1;Listar instâncias;Mostra instâncias e status real;Não Testado;;admin token;
Canais;CAN-2;Criar canal;Cria instância (admin);Não Testado;;;
Canais;CAN-3;Conectar via QR;Gera QR e faz polling até conectar;Não Testado;;ação do usuário;
Canais;CAN-4;Desconectar;Encerra a instância;Não Testado;;;
Canais;CAN-5;Integração UAZAPI;Chamadas reais à API;Não Testado;;;
Disparos;DIS-1;Compositor;Canal + mensagem + base + delay;Não Testado;;;
Disparos;DIS-2;Validação;Exige canal conectado e base;Não Testado;;;
Disparos;DIS-3;Criar campanha;Envio em massa com delay anti-ban;Não Testado;;depende de canal;
Disparos;DIS-4;Personalização {nome};Via /sender/advanced;Não Testado;;não implementado;
Webhook;WHK-1;Recebe eventos;Endpoint aceita POST da UAZAPI;Não Testado;;secret;
Webhook;WHK-2;Grava entrada;Cria/atualiza chats/mensagens (dedup);Não Testado;;validado 201;
Webhook;WHK-3;Alimenta Triagem;Mensagem recebida aparece na Triagem;Não Testado;;precisa canal;
Comunicados;COM-1;Lista + abas;Tabela com abas de status;Não Testado;;;
Comunicados;COM-2;KPIs;Comunicados/Destinatários/Cientes/Taxa de leitura;Não Testado;;;
Comunicados;COM-3;Filtros;Período/destinatário(5)/assunto;Não Testado;;;
Comunicados;COM-4;Dashboards;Por assunto e por destinatário;Não Testado;;;
Comunicados;COM-5;Novo comunicado (admin);Botão só p/ admin; abre modal;Não Testado;;RBAC;
Comunicados;COM-6;Campos do comunicado;Título+mensagem obrigatórios; audiência 5 segmentos; etc.;Não Testado;;;
Comunicados;COM-7;Criar comunicado;Grava comunicados (snapshot destinatários);Não Testado;;validado 201 só admin;
Comunicados;COM-8;Gate leitura obrigatória;Obrigatório não lido bloqueia até "ciente";Não Testado;;regra P1;
Comunicados;COM-9;Estou ciente;Registra leitura e libera;Não Testado;;;
Comunicados;COM-10;Relatório Visualizar;Admin vê quem leu (nome/unidade/quando);Não Testado;;admin-only;
Comunicados;COM-11;Encerrar/Reabrir;Admin muda status;Não Testado;;;
Comunicados;COM-12;E-mail real;Envio por e-mail;Não Testado;;não implementado;
Chamados;CHM-1;Abas Recebidos/Enviados;Separa por origem;Não Testado;;;
Chamados;CHM-2;KPIs;Ativos/Finalizados/Atrasados/SLA 48h;Não Testado;;;
Chamados;CHM-3;Filtros;Período/situação/assunto/departamento;Não Testado;;;
Chamados;CHM-4;Abrir chamado;Modal; assunto+descrição obrigatórios;Não Testado;;De travado p/ franquia;
Chamados;CHM-5;Campos;Assunto, De-Para, etiqueta, prioridade, descrição;Não Testado;;;
Chamados;CHM-6;Criar chamado;Grava chamados + 1ª mensagem;Não Testado;;validado 201;
Chamados;CHM-7;Detalhe + thread;Abre histórico de retornos;Não Testado;;;
Chamados;CHM-8;Responder;Adiciona mensagem;Não Testado;;;
Chamados;CHM-9;Assumir;Usuário vira responsável;Não Testado;;;
Chamados;CHM-10;Finalizar/Reabrir;Alterna situação;Não Testado;;;
Chamados;CHM-11;SLA 48h corridas;Data-limite e marca Atrasado após 48h;Não Testado;;sexta-domingo validado;
Chamados;CHM-12;Escopo/RLS;Vê da sua unidade + que abriu/responsável; admin tudo;Não Testado;;;
RH Recrutamento;RH-1;Aba Currículos;Lista todos os candidatos;Não Testado;;;
RH Recrutamento;RH-2;KPIs;Currículos/triagem/processo/contratados/conversão;Não Testado;;;
RH Recrutamento;RH-3;Filtros;Busca/cargo/estado/fonte/estágio;Não Testado;;;
RH Recrutamento;RH-4;Dashboards;Por cargo/estado/fonte;Não Testado;;;
RH Recrutamento;RH-5;Aba Kanban;7 estágios;Não Testado;;;
RH Recrutamento;RH-6;Mover drag&drop;Arrastar muda estágio e persiste;Não Testado;;contratado/reprovado travados;
RH Recrutamento;RH-7;Iniciar processo;triagem->entrevista_rh (1 a 1, anti-ban);Não Testado;;regra P0;
RH Recrutamento;RH-8;Reprovar c/ motivo;Move p/ reprovado e grava motivo;Não Testado;;;
RH Recrutamento;RH-9;Notas espelhadas;Editar notas reflete no currículo;Não Testado;;;
RH Recrutamento;RH-10;Novo currículo;Cadastra manual;Não Testado;;validado 201;
RH Recrutamento;RH-11;Currículos do site;Curriculo roteado aparece aqui;Não Testado;;ponte;
RH Recrutamento;RH-12;Escopo multitenant;RH rede vê todos; franquia só a sua;Não Testado;;rede=11/Suzano=2;
RH Recrutamento;RH-13;Msg WhatsApp disponibilidade;1ª etapa envia msg;Não Testado;;depende de canal;
Notificações;NOT-1;Contador;Nº de pendências do usuário;Não Testado;;;
Notificações;NOT-2;Chamado novo/atrasado;Notifica chamados relevantes;Não Testado;;;
Notificações;NOT-3;Comunicado pendente;Notifica comunicado obrigatório não lido;Não Testado;;;
